WARNING: im.v:27: $readmemh: The behaviour for reg[...] mem[N:0]; $readmemh("...", mem); changed in the 1364-2005 standard. To avoid ambiguity, use mem[0:N] or explicit range parameters $readmemh("...", mem, start, stop);. Defaulting to 1364-2005 behavior.
WARNING: im.v:27: $readmemh(imem.data): Not enough words in the file for the requested range [0:65535].
Time | IR | PC | R1 | R2 | R3 | OP | BS | PW | PS | WE
                2350 | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 1
                2450 | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 0 | 0 | 1 | 0 | 0
                2550 | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 0 | 0 | 0 | 0 | 0
                2650 | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 0
                2750 | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 0
                2850 | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 1
                2950 | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 0 | 0 | 1 | 0 | 0
                3050 | 17234000 | 0007 | 00000001 | 00000002 | 00000008 | 0 | 0 | 0 | 0 | 0
                3150 | 17234000 | 0007 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 0
                3250 | 17234000 | 0007 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 0
                3350 | 17234000 | 0007 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 1
                3450 | 17234000 | 0007 | 00000001 | 00fffff7 | 00000008 | 0 | 0 | 1 | 0 | 0
                3550 | 14220000 | 0008 | 00000001 | 00fffff7 | 00000008 | 0 | 0 | 0 | 0 | 0
                3650 | 14220000 | 0008 | 00000001 | 00fffff7 | 00000008 | 1 | 0 | 0 | 0 | 0
                3750 | 14220000 | 0008 | 00000001 | 00fffff7 | 00000008 | 1 | 0 | 0 | 0 | 0
                3850 | 14220000 | 0008 | 00000001 | 00fffff7 | 00000008 | 1 | 0 | 0 | 0 | 1
                3950 | 14220000 | 0008 | 00000001 | ff000008 | 00000008 | 0 | 0 | 1 | 0 | 0
                4050 | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 0 | 0 | 0 | 0 | 0
                4150 | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 0
                4250 | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 0
                4350 | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 1
                4450 | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 0 | 0 | 1 | 0 | 0
                4550 | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 0 | 0 | 0 | 0 | 0
                4650 | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 0
                4750 | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 0
                4850 | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 1
                4950 | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 0 | 0 | 1 | 0 | 0
                5050 | 16324000 | 000b | 00000001 | ff000008 | 00000008 | 0 | 0 | 0 | 0 | 0
                5150 | 16324000 | 000b | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 0
                5250 | 16324000 | 000b | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 0
                5350 | 16324000 | 000b | 00000001 | ff000008 | 00000008 | 1 | 0 | 0 | 0 | 1
                5450 | 16324000 | 000b | 00000001 | ff000008 | fe000000 | 0 | 0 | 1 | 0 | 0
                5550 | 00000000 | 000c | 00000001 | ff000008 | fe000000 | 0 | 0 | 0 | 0 | 0
                5650 | 00000000 | 000c | 00000001 | ff000008 | fe000000 | 0 | 0 | 1 | 0 | 0
                5750 | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 0 | 0 | 0 | 0 | 0
                5850 | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 3 | 0 | 0 | 0 | 0
                5950 | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 3 | 0 | 0 | 0 | 0
                6050 | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 3 | 0 | 0 | 0 | 1
                6150 | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 0 | 0 | 1 | 0 | 0
                6250 | 12211000 | 000e | 00000001 | ff000008 | fe000000 | 0 | 0 | 0 | 0 | 0
                6350 | 12211000 | 000e | 00000001 | ff000008 | fe000000 | 1 | 0 | 0 | 0 | 0
                6450 | 12211000 | 000e | 00000001 | ff000008 | fe000000 | 1 | 0 | 0 | 0 | 0
                6550 | 12211000 | 000e | 00000001 | ff000008 | fe000000 | 1 | 0 | 0 | 0 | 1
                6650 | 12211000 | 000e | 00000001 | 00000000 | fe000000 | 0 | 0 | 1 | 0 | 0
                6750 | 12201000 | 000f | 00000001 | 00000000 | fe000000 | 0 | 0 | 0 | 0 | 0
                6850 | 12201000 | 000f | 00000001 | 00000000 | fe000000 | 1 | 0 | 0 | 0 | 0
                6950 | 12201000 | 000f | 00000001 | 00000000 | fe000000 | 1 | 0 | 0 | 0 | 0
                7050 | 12201000 | 000f | 00000001 | 00000000 | fe000000 | 1 | 0 | 0 | 0 | 1
                7150 | 12201000 | 000f | 00000001 | ffffffff | fe000000 | 0 | 0 | 1 | 0 | 0
                7250 | 18311000 | 0010 | 00000001 | ffffffff | fe000000 | 0 | 0 | 0 | 0 | 0
                7350 | 18311000 | 0010 | 00000001 | ffffffff | fe000000 | 1 | 0 | 0 | 0 | 0
                7450 | 18311000 | 0010 | 00000001 | ffffffff | fe000000 | 1 | 0 | 0 | 0 | 0
                7550 | 18311000 | 0010 | 00000001 | ffffffff | fe000000 | 1 | 0 | 0 | 0 | 1
                7650 | 18311000 | 0010 | 00000001 | ffffffff | 80000000 | 0 | 0 | 1 | 0 | 0
                7750 | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 0 | 0 | 0 | 0 | 0
                7850 | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 1 | 0 | 0 | 0 | 0
                7950 | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 1 | 0 | 0 | 0 | 0
                8050 | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 1 | 0 | 0 | 0 | 1
                8150 | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 0 | 0 | 1 | 0 | 0
                8250 | 00000000 | 0012 | 00000001 | ffffffff | 80000000 | 0 | 0 | 0 | 0 | 0
                8350 | 00000000 | 0012 | 00000001 | ffffffff | 80000000 | 0 | 0 | 1 | 0 | 0
                8450 | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 0 | 0 | 0 | 0 | 0
                8550 | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 1 | 0 | 0 | 0 | 0
                8650 | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 1 | 0 | 0 | 0 | 0
                8750 | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 1 | 0 | 0 | 0 | 1
                8850 | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 0 | 0 | 1 | 0 | 0
                8950 | 4200001d | 0014 | 00000001 | ffffffff | 80000000 | 0 | 0 | 0 | 0 | 0
                9050 | 4200001d | 0014 | 00000001 | ffffffff | 80000000 | 0 | 0 | 1 | 0 | 0
                9150 | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 0 | 0 | 0 | 0 | 0
                9250 | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 3 | 0 | 0 | 0 | 0
                9350 | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 3 | 0 | 0 | 0 | 0
                9450 | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 3 | 0 | 0 | 0 | 1
                9550 | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 0 | 0 | 1 | 0 | 0
                9650 | 21200004 | 0016 | 00000001 | ffffffff | 80000000 | 0 | 0 | 0 | 0 | 0
                9750 | 21200004 | 0016 | 00000001 | ffffffff | 80000000 | 3 | 0 | 0 | 0 | 0
                9850 | 21200004 | 0016 | 00000001 | ffffffff | 80000000 | 3 | 0 | 0 | 0 | 0
                9950 | 21200004 | 0016 | 00000001 | ffffffff | 80000000 | 3 | 0 | 0 | 0 | 1
               10050 | 21200004 | 0016 | 00000001 | 00000004 | 80000000 | 0 | 0 | 1 | 0 | 0
               10150 | 2122ffff | 0017 | 00000001 | 00000004 | 80000000 | 0 | 0 | 0 | 0 | 0
               10250 | 2122ffff | 0017 | 00000001 | 00000004 | 80000000 | 3 | 0 | 0 | 0 | 0
               10350 | 2122ffff | 0017 | 00000001 | 00000004 | 80000000 | 3 | 0 | 0 | 0 | 0
               10450 | 2122ffff | 0017 | 00000001 | 00000004 | 80000000 | 3 | 0 | 0 | 0 | 1
               10550 | 2122ffff | 0017 | 00000001 | 00000003 | 80000000 | 0 | 0 | 1 | 0 | 0
               10650 | 51000005 | 0018 | 00000001 | 00000003 | 80000000 | 0 | 0 | 0 | 0 | 0
               10750 | 51000005 | 0018 | 00000001 | 00000003 | 80000000 | 0 | 0 | 1 | 0 | 0
               10850 | 21320000 | 0019 | 00000001 | 00000003 | 80000000 | 0 | 0 | 0 | 0 | 0
               10950 | 21320000 | 0019 | 00000001 | 00000003 | 80000000 | 3 | 0 | 0 | 0 | 0
               11050 | 21320000 | 0019 | 00000001 | 00000003 | 80000000 | 3 | 0 | 0 | 0 | 0
               11150 | 21320000 | 0019 | 00000001 | 00000003 | 80000000 | 3 | 0 | 0 | 0 | 1
               11250 | 21320000 | 0019 | 00000001 | 00000003 | 00000003 | 0 | 0 | 1 | 0 | 0
               11350 | 21440001 | 001a | 00000001 | 00000003 | 00000003 | 0 | 0 | 0 | 0 | 0
               11450 | 21440001 | 001a | 00000001 | 00000003 | 00000003 | 3 | 0 | 0 | 0 | 0
               11550 | 21440001 | 001a | 00000001 | 00000003 | 00000003 | 3 | 0 | 0 | 0 | 0
               11650 | 21440001 | 001a | 00000001 | 00000003 | 00000003 | 3 | 0 | 0 | 0 | 1
               11750 | 21440001 | 001a | 00000001 | 00000003 | 00000003 | 0 | 0 | 1 | 0 | 0
               11850 | 12331000 | 001b | 00000001 | 00000003 | 00000003 | 0 | 0 | 0 | 0 | 0
               11950 | 12331000 | 001b | 00000001 | 00000003 | 00000003 | 1 | 0 | 0 | 0 | 0
               12050 | 12331000 | 001b | 00000001 | 00000003 | 00000003 | 1 | 0 | 0 | 0 | 0
               12150 | 12331000 | 001b | 00000001 | 00000003 | 00000003 | 1 | 0 | 0 | 0 | 1
               12250 | 12331000 | 001b | 00000001 | 00000003 | 00000002 | 0 | 0 | 1 | 0 | 0
               12350 | 7100fffd | 001c | 00000001 | 00000003 | 00000002 | 0 | 0 | 1 | 1 | 0
               12450 | 7100fffd | 0019 | 00000001 | 00000003 | 00000002 | 0 | 0 | 1 | 0 | 0
               12550 | 21440001 | 001a | 00000001 | 00000003 | 00000002 | 0 | 0 | 0 | 0 | 0
               12650 | 21440001 | 001a | 00000001 | 00000003 | 00000002 | 3 | 0 | 0 | 0 | 0
               12750 | 21440001 | 001a | 00000001 | 00000003 | 00000002 | 3 | 0 | 0 | 0 | 0
               12850 | 21440001 | 001a | 00000001 | 00000003 | 00000002 | 3 | 0 | 0 | 0 | 1
               12950 | 21440001 | 001a | 00000001 | 00000003 | 00000002 | 0 | 0 | 1 | 0 | 0
               13050 | 12331000 | 001b | 00000001 | 00000003 | 00000002 | 0 | 0 | 0 | 0 | 0
               13150 | 12331000 | 001b | 00000001 | 00000003 | 00000002 | 1 | 0 | 0 | 0 | 0
               13250 | 12331000 | 001b | 00000001 | 00000003 | 00000002 | 1 | 0 | 0 | 0 | 0
               13350 | 12331000 | 001b | 00000001 | 00000003 | 00000002 | 1 | 0 | 0 | 0 | 1
               13450 | 12331000 | 001b | 00000001 | 00000003 | 00000001 | 0 | 0 | 1 | 0 | 0
               13550 | 7100fffd | 001c | 00000001 | 00000003 | 00000001 | 0 | 0 | 1 | 1 | 0
               13650 | 7100fffd | 0019 | 00000001 | 00000003 | 00000001 | 0 | 0 | 1 | 0 | 0
               13750 | 21440001 | 001a | 00000001 | 00000003 | 00000001 | 0 | 0 | 0 | 0 | 0
               13850 | 21440001 | 001a | 00000001 | 00000003 | 00000001 | 3 | 0 | 0 | 0 | 0
               13950 | 21440001 | 001a | 00000001 | 00000003 | 00000001 | 3 | 0 | 0 | 0 | 0
               14050 | 21440001 | 001a | 00000001 | 00000003 | 00000001 | 3 | 0 | 0 | 0 | 1
               14150 | 21440001 | 001a | 00000001 | 00000003 | 00000001 | 0 | 0 | 1 | 0 | 0
               14250 | 12331000 | 001b | 00000001 | 00000003 | 00000001 | 0 | 0 | 0 | 0 | 0
               14350 | 12331000 | 001b | 00000001 | 00000003 | 00000001 | 1 | 0 | 0 | 0 | 0
               14450 | 12331000 | 001b | 00000001 | 00000003 | 00000001 | 1 | 0 | 0 | 0 | 0
               14550 | 12331000 | 001b | 00000001 | 00000003 | 00000001 | 1 | 0 | 0 | 0 | 1
               14650 | 12331000 | 001b | 00000001 | 00000003 | 00000000 | 0 | 0 | 1 | 0 | 0
               14750 | 7100fffd | 001c | 00000001 | 00000003 | 00000000 | 0 | 0 | 0 | 0 | 0
               14850 | 7100fffd | 001c | 00000001 | 00000003 | 00000000 | 0 | 0 | 1 | 0 | 0
               14950 | 60000016 | 001d | 00000001 | 00000003 | 00000000 | 0 | 1 | 1 | 1 | 0
               15050 | 60000016 | 0016 | 00000001 | 00000003 | 00000000 | 0 | 0 | 1 | 0 | 0
               15150 | 2122ffff | 0017 | 00000001 | 00000003 | 00000000 | 0 | 0 | 0 | 0 | 0
               15250 | 2122ffff | 0017 | 00000001 | 00000003 | 00000000 | 3 | 0 | 0 | 0 | 0
               15350 | 2122ffff | 0017 | 00000001 | 00000003 | 00000000 | 3 | 0 | 0 | 0 | 0
               15450 | 2122ffff | 0017 | 00000001 | 00000003 | 00000000 | 3 | 0 | 0 | 0 | 1
               15550 | 2122ffff | 0017 | 00000001 | 00000002 | 00000000 | 0 | 0 | 1 | 0 | 0
               15650 | 51000005 | 0018 | 00000001 | 00000002 | 00000000 | 0 | 0 | 0 | 0 | 0
               15750 | 51000005 | 0018 | 00000001 | 00000002 | 00000000 | 0 | 0 | 1 | 0 | 0
               15850 | 21320000 | 0019 | 00000001 | 00000002 | 00000000 | 0 | 0 | 0 | 0 | 0
               15950 | 21320000 | 0019 | 00000001 | 00000002 | 00000000 | 3 | 0 | 0 | 0 | 0
               16050 | 21320000 | 0019 | 00000001 | 00000002 | 00000000 | 3 | 0 | 0 | 0 | 0
               16150 | 21320000 | 0019 | 00000001 | 00000002 | 00000000 | 3 | 0 | 0 | 0 | 1
               16250 | 21320000 | 0019 | 00000001 | 00000002 | 00000002 | 0 | 0 | 1 | 0 | 0
               16350 | 21440001 | 001a | 00000001 | 00000002 | 00000002 | 0 | 0 | 0 | 0 | 0
               16450 | 21440001 | 001a | 00000001 | 00000002 | 00000002 | 3 | 0 | 0 | 0 | 0
               16550 | 21440001 | 001a | 00000001 | 00000002 | 00000002 | 3 | 0 | 0 | 0 | 0
               16650 | 21440001 | 001a | 00000001 | 00000002 | 00000002 | 3 | 0 | 0 | 0 | 1
               16750 | 21440001 | 001a | 00000001 | 00000002 | 00000002 | 0 | 0 | 1 | 0 | 0
               16850 | 12331000 | 001b | 00000001 | 00000002 | 00000002 | 0 | 0 | 0 | 0 | 0
               16950 | 12331000 | 001b | 00000001 | 00000002 | 00000002 | 1 | 0 | 0 | 0 | 0
               17050 | 12331000 | 001b | 00000001 | 00000002 | 00000002 | 1 | 0 | 0 | 0 | 0
               17150 | 12331000 | 001b | 00000001 | 00000002 | 00000002 | 1 | 0 | 0 | 0 | 1
               17250 | 12331000 | 001b | 00000001 | 00000002 | 00000001 | 0 | 0 | 1 | 0 | 0
               17350 | 7100fffd | 001c | 00000001 | 00000002 | 00000001 | 0 | 0 | 1 | 1 | 0
               17450 | 7100fffd | 0019 | 00000001 | 00000002 | 00000001 | 0 | 0 | 1 | 0 | 0
               17550 | 21440001 | 001a | 00000001 | 00000002 | 00000001 | 0 | 0 | 0 | 0 | 0
               17650 | 21440001 | 001a | 00000001 | 00000002 | 00000001 | 3 | 0 | 0 | 0 | 0
               17750 | 21440001 | 001a | 00000001 | 00000002 | 00000001 | 3 | 0 | 0 | 0 | 0
               17850 | 21440001 | 001a | 00000001 | 00000002 | 00000001 | 3 | 0 | 0 | 0 | 1
               17950 | 21440001 | 001a | 00000001 | 00000002 | 00000001 | 0 | 0 | 1 | 0 | 0
               18050 | 12331000 | 001b | 00000001 | 00000002 | 00000001 | 0 | 0 | 0 | 0 | 0
               18150 | 12331000 | 001b | 00000001 | 00000002 | 00000001 | 1 | 0 | 0 | 0 | 0
               18250 | 12331000 | 001b | 00000001 | 00000002 | 00000001 | 1 | 0 | 0 | 0 | 0
               18350 | 12331000 | 001b | 00000001 | 00000002 | 00000001 | 1 | 0 | 0 | 0 | 1
               18450 | 12331000 | 001b | 00000001 | 00000002 | 00000000 | 0 | 0 | 1 | 0 | 0
               18550 | 7100fffd | 001c | 00000001 | 00000002 | 00000000 | 0 | 0 | 0 | 0 | 0
               18650 | 7100fffd | 001c | 00000001 | 00000002 | 00000000 | 0 | 0 | 1 | 0 | 0
               18750 | 60000016 | 001d | 00000001 | 00000002 | 00000000 | 0 | 1 | 1 | 1 | 0
               18850 | 60000016 | 0016 | 00000001 | 00000002 | 00000000 | 0 | 0 | 1 | 0 | 0
               18950 | 2122ffff | 0017 | 00000001 | 00000002 | 00000000 | 0 | 0 | 0 | 0 | 0
               19050 | 2122ffff | 0017 | 00000001 | 00000002 | 00000000 | 3 | 0 | 0 | 0 | 0
               19150 | 2122ffff | 0017 | 00000001 | 00000002 | 00000000 | 3 | 0 | 0 | 0 | 0
               19250 | 2122ffff | 0017 | 00000001 | 00000002 | 00000000 | 3 | 0 | 0 | 0 | 1
               19350 | 2122ffff | 0017 | 00000001 | 00000001 | 00000000 | 0 | 0 | 1 | 0 | 0
               19450 | 51000005 | 0018 | 00000001 | 00000001 | 00000000 | 0 | 0 | 0 | 0 | 0
               19550 | 51000005 | 0018 | 00000001 | 00000001 | 00000000 | 0 | 0 | 1 | 0 | 0
               19650 | 21320000 | 0019 | 00000001 | 00000001 | 00000000 | 0 | 0 | 0 | 0 | 0
               19750 | 21320000 | 0019 | 00000001 | 00000001 | 00000000 | 3 | 0 | 0 | 0 | 0
               19850 | 21320000 | 0019 | 00000001 | 00000001 | 00000000 | 3 | 0 | 0 | 0 | 0
               19950 | 21320000 | 0019 | 00000001 | 00000001 | 00000000 | 3 | 0 | 0 | 0 | 1
               20050 | 21320000 | 0019 | 00000001 | 00000001 | 00000001 | 0 | 0 | 1 | 0 | 0
               20150 | 21440001 | 001a | 00000001 | 00000001 | 00000001 | 0 | 0 | 0 | 0 | 0
               20250 | 21440001 | 001a | 00000001 | 00000001 | 00000001 | 3 | 0 | 0 | 0 | 0
               20350 | 21440001 | 001a | 00000001 | 00000001 | 00000001 | 3 | 0 | 0 | 0 | 0
               20450 | 21440001 | 001a | 00000001 | 00000001 | 00000001 | 3 | 0 | 0 | 0 | 1
               20550 | 21440001 | 001a | 00000001 | 00000001 | 00000001 | 0 | 0 | 1 | 0 | 0
               20650 | 12331000 | 001b | 00000001 | 00000001 | 00000001 | 0 | 0 | 0 | 0 | 0
               20750 | 12331000 | 001b | 00000001 | 00000001 | 00000001 | 1 | 0 | 0 | 0 | 0
               20850 | 12331000 | 001b | 00000001 | 00000001 | 00000001 | 1 | 0 | 0 | 0 | 0
               20950 | 12331000 | 001b | 00000001 | 00000001 | 00000001 | 1 | 0 | 0 | 0 | 1
               21050 | 12331000 | 001b | 00000001 | 00000001 | 00000000 | 0 | 0 | 1 | 0 | 0
               21150 | 7100fffd | 001c | 00000001 | 00000001 | 00000000 | 0 | 0 | 0 | 0 | 0
               21250 | 7100fffd | 001c | 00000001 | 00000001 | 00000000 | 0 | 0 | 1 | 0 | 0
               21350 | 60000016 | 001d | 00000001 | 00000001 | 00000000 | 0 | 1 | 1 | 1 | 0
               21450 | 60000016 | 0016 | 00000001 | 00000001 | 00000000 | 0 | 0 | 1 | 0 | 0
               21550 | 2122ffff | 0017 | 00000001 | 00000001 | 00000000 | 0 | 0 | 0 | 0 | 0
               21650 | 2122ffff | 0017 | 00000001 | 00000001 | 00000000 | 3 | 0 | 0 | 0 | 0
               21750 | 2122ffff | 0017 | 00000001 | 00000001 | 00000000 | 3 | 0 | 0 | 0 | 0
               21850 | 2122ffff | 0017 | 00000001 | 00000001 | 00000000 | 3 | 0 | 0 | 0 | 1
               21950 | 2122ffff | 0017 | 00000001 | 00000000 | 00000000 | 0 | 0 | 1 | 0 | 0
               22050 | 51000005 | 0018 | 00000001 | 00000000 | 00000000 | 0 | 0 | 1 | 1 | 0
               22150 | 51000005 | 001d | 00000001 | 00000000 | 00000000 | 0 | 0 | 1 | 0 | 0
               22250 | 00000000 | 001e | 00000001 | 00000000 | 00000000 | 0 | 0 | 0 | 0 | 0
               22350 | 00000000 | 001e | 00000001 | 00000000 | 00000000 | 0 | 0 | 1 | 0 | 0
               22450 | f0000000 | 001f | 00000001 | 00000000 | 00000000 | 0 | 0 | 0 | 0 | 0

============================================================
  ECE:3350 SISC Part 2 Self-Test Results
============================================================
  Simulation time: 22460

  --- Register File ---
  [PASS]  R0           = 00000000
  [PASS]  R1           = 00000001
  [PASS]  R2           = 00000000
  [PASS]  R3           = 00000000
  [PASS]  R4           = 00000006
  [PASS]  R5           = ff000019
  [PASS]  R6           = 00000000
  [PASS]  R7           = 00000000
  [PASS]  R8           = 00000000
  [PASS]  R9           = 00000000
  [PASS]  R10          = 00000000
  [PASS]  R11          = 00000000
  [PASS]  R12          = 00000000
  [PASS]  R13          = 00000000
  [PASS]  R14          = 00000000
  [PASS]  R15          = 00000000

============================================================
  SCORE: 16 / 16 checks passed
  STATUS: ALL TESTS PASSED
============================================================

  --- Diagnostic Hints ---

Halt instruction reached at time                22550. Simulation finished.
ctrl.v:112: $finish called at 22550 (100ps)
