WARNING: im.v:27: $readmemh: The behaviour for reg[...] mem[N:0]; $readmemh("...", mem); changed in the 1364-2005 standard. To avoid ambiguity, use mem[0:N] or explicit range parameters $readmemh("...", mem, start, stop);. Defaulting to 1364-2005 behavior.
WARNING: im.v:27: $readmemh(imem.data): Not enough words in the file for the requested range [0:65535].
Time | IR | PC | R1 | R2 | R3 | OP | BS | PW | PS
                 205ns | 1b322000 | 0004 | 00000001 | 00000002 | 00000000 | 0001 | 0 | 0 | 0
                 215ns | 1b322000 | 0004 | 00000001 | 00000002 | 00000008 | 0000 | 0 | 1 | 0
                 225ns | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 0000 | 0 | 0 | 0
                 235ns | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 245ns | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 255ns | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 265ns | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 0000 | 0 | 1 | 0
                 275ns | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 0000 | 0 | 0 | 0
                 285ns | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 295ns | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 305ns | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 315ns | 1a443000 | 0006 | 00000001 | 00000002 | 00000008 | 0000 | 0 | 1 | 0
                 325ns | 17234000 | 0007 | 00000001 | 00000002 | 00000008 | 0000 | 0 | 0 | 0
                 335ns | 17234000 | 0007 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 345ns | 17234000 | 0007 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 355ns | 17234000 | 0007 | 00000001 | 00000002 | 00000008 | 0001 | 0 | 0 | 0
                 365ns | 17234000 | 0007 | 00000001 | 00fffff7 | 00000008 | 0000 | 0 | 1 | 0
                 375ns | 14220000 | 0008 | 00000001 | 00fffff7 | 00000008 | 0000 | 0 | 0 | 0
                 385ns | 14220000 | 0008 | 00000001 | 00fffff7 | 00000008 | 0001 | 0 | 0 | 0
                 395ns | 14220000 | 0008 | 00000001 | 00fffff7 | 00000008 | 0001 | 0 | 0 | 0
                 405ns | 14220000 | 0008 | 00000001 | 00fffff7 | 00000008 | 0001 | 0 | 0 | 0
                 415ns | 14220000 | 0008 | 00000001 | ff000008 | 00000008 | 0000 | 0 | 1 | 0
                 425ns | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 0000 | 0 | 0 | 0
                 435ns | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 445ns | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 455ns | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 465ns | 19421000 | 0009 | 00000001 | ff000008 | 00000008 | 0000 | 0 | 1 | 0
                 475ns | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 0000 | 0 | 0 | 0
                 485ns | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 495ns | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 505ns | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 515ns | 15524000 | 000a | 00000001 | ff000008 | 00000008 | 0000 | 0 | 1 | 0
                 525ns | 16324000 | 000b | 00000001 | ff000008 | 00000008 | 0000 | 0 | 0 | 0
                 535ns | 16324000 | 000b | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 545ns | 16324000 | 000b | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 555ns | 16324000 | 000b | 00000001 | ff000008 | 00000008 | 0001 | 0 | 0 | 0
                 565ns | 16324000 | 000b | 00000001 | ff000008 | fe000000 | 0000 | 0 | 1 | 0
                 575ns | 00000000 | 000c | 00000001 | ff000008 | fe000000 | 0000 | 0 | 0 | 0
                 615ns | 00000000 | 000c | 00000001 | ff000008 | fe000000 | 0000 | 0 | 1 | 0
                 625ns | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 0000 | 0 | 0 | 0
                 635ns | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 0011 | 0 | 0 | 0
                 645ns | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 0011 | 0 | 0 | 0
                 655ns | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 0011 | 0 | 0 | 0
                 665ns | 21100001 | 000d | 00000001 | ff000008 | fe000000 | 0000 | 0 | 1 | 0
                 675ns | 12211000 | 000e | 00000001 | ff000008 | fe000000 | 0000 | 0 | 0 | 0
                 685ns | 12211000 | 000e | 00000001 | ff000008 | fe000000 | 0001 | 0 | 0 | 0
                 695ns | 12211000 | 000e | 00000001 | ff000008 | fe000000 | 0001 | 0 | 0 | 0
                 705ns | 12211000 | 000e | 00000001 | ff000008 | fe000000 | 0001 | 0 | 0 | 0
                 715ns | 12211000 | 000e | 00000001 | 00000000 | fe000000 | 0000 | 0 | 1 | 0
                 725ns | 12201000 | 000f | 00000001 | 00000000 | fe000000 | 0000 | 0 | 0 | 0
                 735ns | 12201000 | 000f | 00000001 | 00000000 | fe000000 | 0001 | 0 | 0 | 0
                 745ns | 12201000 | 000f | 00000001 | 00000000 | fe000000 | 0001 | 0 | 0 | 0
                 755ns | 12201000 | 000f | 00000001 | 00000000 | fe000000 | 0001 | 0 | 0 | 0
                 765ns | 12201000 | 000f | 00000001 | ffffffff | fe000000 | 0000 | 0 | 1 | 0
                 775ns | 18311000 | 0010 | 00000001 | ffffffff | fe000000 | 0000 | 0 | 0 | 0
                 785ns | 18311000 | 0010 | 00000001 | ffffffff | fe000000 | 0001 | 0 | 0 | 0
                 795ns | 18311000 | 0010 | 00000001 | ffffffff | fe000000 | 0001 | 0 | 0 | 0
                 805ns | 18311000 | 0010 | 00000001 | ffffffff | fe000000 | 0001 | 0 | 0 | 0
                 815ns | 18311000 | 0010 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 1 | 0
                 825ns | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 0 | 0
                 835ns | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 0001 | 0 | 0 | 0
                 845ns | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 0001 | 0 | 0 | 0
                 855ns | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 0001 | 0 | 0 | 0
                 865ns | 11423000 | 0011 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 1 | 0
                 875ns | 00000000 | 0012 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 0 | 0
                 915ns | 00000000 | 0012 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 1 | 0
                 925ns | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 0 | 0
                 935ns | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 0001 | 0 | 0 | 0
                 945ns | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 0001 | 0 | 0 | 0
                 955ns | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 0001 | 0 | 0 | 0
                 965ns | 11400000 | 0013 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 1 | 0
                 975ns | 6100001d | 0014 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 0 | 0
                1015ns | 6100001d | 0014 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 1 | 0
                1025ns | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 0 | 0
                1035ns | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 0011 | 0 | 0 | 0
                1045ns | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 0011 | 0 | 0 | 0
                1055ns | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 0011 | 0 | 0 | 0
                1065ns | 21100001 | 0015 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 1 | 0
                1075ns | 21200004 | 0016 | 00000001 | ffffffff | 80000000 | 0000 | 0 | 0 | 0
                1085ns | 21200004 | 0016 | 00000001 | ffffffff | 80000000 | 0011 | 0 | 0 | 0
                1095ns | 21200004 | 0016 | 00000001 | ffffffff | 80000000 | 0011 | 0 | 0 | 0
                1105ns | 21200004 | 0016 | 00000001 | ffffffff | 80000000 | 0011 | 0 | 0 | 0
                1115ns | 21200004 | 0016 | 00000001 | 00000004 | 80000000 | 0000 | 0 | 1 | 0
                1125ns | 2122ffff | 0017 | 00000001 | 00000004 | 80000000 | 0000 | 0 | 0 | 0
                1135ns | 2122ffff | 0017 | 00000001 | 00000004 | 80000000 | 0011 | 0 | 0 | 0
                1145ns | 2122ffff | 0017 | 00000001 | 00000004 | 80000000 | 0011 | 0 | 0 | 0
                1155ns | 2122ffff | 0017 | 00000001 | 00000004 | 80000000 | 0011 | 0 | 0 | 0
                1165ns | 2122ffff | 0017 | 00000001 | 00000003 | 80000000 | 0000 | 0 | 1 | 0
                1175ns | 51000005 | 0018 | 00000001 | 00000003 | 80000000 | 0000 | 0 | 1 | 1
                1185ns | 51000005 | 001d | 00000001 | 00000003 | 80000000 | 0000 | 0 | 0 | 0
                1175ns | 51000005 | 0018 | 00000001 | 00000003 | 80000000 | 0000 | 0 | 1 | 1    
                1185ns | 51000005 | 001d | 00000001 | 00000003 | 80000000 | 0000 | 0 | 0 | 0    
                1175ns | 51000005 | 0018 | 00000001 | 00000003 | 80000000 | 0000 | 0 | 1 | 1    v:86: $finish called at 12350 (100ps)
                1185ns | 51000005 | 001d | 00000001 | 00000003 | 80000000 | 0000 | 0 | 0 | 0    @JOVIO_COMP MINGW64 ~/Documents/GitHub/caoProject/part2/sisc_p2_files (part2Bugs)
                1215ns | 51000005 | 001d | 00000001 | 00000003 | 80000000 | 0000 | 0 | 1 |                 1175ns | 51000005 | 0018 | 00000001 | 00000003 | 80000000 | 0000 | 0 | 1 | 1               1225ns | f0000000 | 001e | 00000001 | 00000003 | 80000000 | 0000 | 0 | 0 | 
                1185ns | 51000005 | 001d | 00000001 | 00000003 | 80000000 | 0000 | 0 | 0 | 0 LT encountered at 12350
                1215ns | 51000005 | 001d | 00000001 | 00000003 | 80000000 | 0000 | 0 | 1 |                 1215ns | 51000005 | 001d |                       1215ns | 51000005 | 001d | 00000001 | 00000003 | 80000000 | 0000 | 0 | 1 | 0
                1225ns | f0000000 | 001e | 00000001 | 00000003 | 80000000 | 0000 | 0 | 0 | 0
HALT encountered at 12350
ctrl.v:86: $finish called at 12350 (100ps)
